YEAR,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
1927,  56.1215,  30.4302,  26.5173,  33.3573,  40.7509,  47.3598,  37.6032,  35.9886,  29.9284,  47.5895,  24.9120,  27.9396,  37.3276,  26.4635,  58.1273,  40.6641,  42.1628,  23.0577,  26.0473,  40.3948,  46.1208,  29.3302,  22.5064,  26.3199,  29.2687
1928,  10.4137,  31.3853,  42.9963,  34.6270,  74.1446,  17.8825,  46.4795,  26.6948,  37.0095,  51.6478,  49.2875,  59.3877,  57.1456,  26.1002,  21.8493,  57.3258,  41.8220,  24.4210,  38.0253,  20.9311,  47.9433,  36.0237,  35.3808,  16.7822,  38.3214
1929, -51.5143, -61.5221, -57.4774, -48.2523, -44.8588, -51.5658, -40.4005, -35.2564, -37.7458, -31.3523, -45.0750, -28.4071, -15.3906, -23.8212, -21.8149, -31.5741, -33.3372, -12.0759, -12.9093,  -5.0771, -19.8854,  -1.9214,   1.4418,   3.7846,   1.0090
1930, -52.8802, -70.4686, -47.4632, -46.4064, -49.5888, -50.8604, -32.0933, -33.8915, -45.7792, -45.3259, -29.1440, -28.9990, -31.7705, -32.6783, -50.2807, -32.0214, -31.6357, -39.3981, -37.6932, -47.4002, -25.4863, -25.9657, -25.5597, -39.6651, -73.8274
1931, -79.6349, -46.3768, -44.8314, -49.9261, -51.7823, -36.2900, -46.2009, -41.5359, -45.3161, -52.0275, -42.5427, -48.4107, -46.6794, -53.3401, -54.5245, -40.4537, -38.3224, -49.5546, -58.5643, -53.4602, -35.9057, -45.3315, -67.3037, -64.7571, -41.6031
1932,  -4.3245, -46.9936,  12.1024,   7.2726,   9.2282, -27.5491, -27.8392, -10.8775,  10.4851,  22.5762, -11.8091,  -8.7844, -10.2324, -15.4233, -16.8948,  -1.3193,  -6.9260, -13.5646,  22.7087,  -4.3661, -11.1441,   0.7114, -16.0568, -29.9529, 120.8462
1933,   5.3511, 226.4382, 150.4204, 173.8464, 182.5603, 130.2352, 117.9698, 134.7257, 155.9767, 113.6734, 119.9890,  97.3920, 101.5778, 106.4977, 117.1871,  77.6479, 120.5588, 103.9200, 109.1375, 169.6367,  37.5997,  60.2971,  78.4382, 101.4990,  47.2322
1934,  35.4505,  17.7753,  32.5359,  35.5307,  13.4181,  44.9158,  31.6216,  13.1606,  10.4699,   7.3390,  53.0441,  27.2627,  23.3432,  22.1693, -19.4372,  15.3972,  25.6257,  16.6440,  -0.4873, -32.1433,  10.3497,  -0.0220,  -9.2770, -19.9744, -25.5373
1935,  61.7525,   2.0826,  91.0748,  90.8389,  71.0616,  56.3948,  78.3631,  83.3685,  68.1768,  46.7911,  49.9824,  51.3181,  73.8502,  46.2243,  52.5738,  38.2302,  40.7573,  38.6401,  47.7807,  11.9581,  44.8323,  44.9516,  45.8232,  35.1530,  61.8987
1936,  26.2364,  26.5556,  81.6737,  84.6166,  71.7005,  31.8386,  60.4644,  41.6585,  56.7594,  66.9442,  33.4962,  40.1253,  60.2979,  66.3813,  78.9834,  23.9751,  20.5863,  48.8520,  67.5271,  39.4694,  27.6480,  24.7211,  34.7152,  55.7905,  35.1330
1937, -62.3492, -67.7898, -61.4907, -45.4777, -53.5068, -53.0714, -50.9367, -49.6524, -51.0931, -56.7565, -47.3604, -49.0567, -45.1213, -39.9001, -52.2621, -33.1127, -39.3052, -42.7379, -51.8090, -42.5235, -33.2928, -35.8290, -26.9609, -33.7775, -38.3731
1938,  27.8933,  -1.7896,  47.4700,  32.3014,   4.6239,  50.7198,  40.8244,  40.6345,  33.3300,  33.5388,  46.7339,  59.4583,  39.6661,  27.8762,  29.6155,  40.6433,  41.2854,  44.6589,  25.7891,  36.4290,  35.2319,  26.0446,  12.9128,  26.6682,  28.5755
1939,  12.3126, -21.5411,   1.8704, -11.1105,   0.8468,  -1.7402,   4.1784,  -2.6691,   3.3304, -13.5326,   6.9120,  12.8818,   5.9964,  -4.6544,   9.9026,   4.3772,  -3.4889, -12.3005,   5.5628, -26.1338,   5.1644,   4.9846,   2.1460,  -9.3375, -14.0676
1940, -12.0960, -25.6251, -19.2808, -13.7652,  -8.8622,  -2.3804,   2.4340,  -4.6592,   2.0588, -16.0518,   1.0664,   2.0930,  -1.5702,  -0.3343, -17.7543,  -7.9270,  -7.7106,  -5.1257,   1.1118, -15.5755, -10.1802,  -5.5815,  -4.3099,  -4.7513,  -4.7939
1941, -49.2583, -27.9040, -16.6499, -14.4132,  -0.9025, -11.3612,  -9.4395, -17.8117,  -2.2722,  -3.3840, -22.1840, -13.1192,  -8.2488,  -6.3470,  -0.8145,  -7.6150, -13.4647,  -9.3022,  -2.7178,   7.9455, -12.4033, -14.1255,   0.9504,  -7.3123,  -3.6031
1942,  28.0738,  26.1828,  27.9147,  42.4110,  39.6688,  20.8916,  27.5490,  25.3435,  27.2719,  38.5247,  24.0953,  16.3510,  13.1827,  28.0068,  27.4140,  15.3559,  18.2310,  20.6347,  19.6638,  49.5457,  16.3552,  11.1399,  13.5679,  27.2020,  39.1889
1943,  63.7171,  55.3704,  74.2600,  96.9535, 125.8076,  68.3096,  49.7421,  61.1472,  86.9734,  95.7471,  32.8270,  30.7717,  49.5457,  55.5592,  89.9574,  21.2463,  37.4180,  30.9799,  52.9646,  55.8509,  17.0392,  27.7410,  37.4691,  31.5427,  42.6437
1944,  64.8925,  52.4028,  57.6032,  55.2380,  70.8016,  42.2799,  41.0090,  33.0923,  30.3493,  69.5595,  28.8714,  43.7770,  34.4527,  36.6387,  58.0407,  19.3146,  26.9243,  27.1786,  47.7663,  45.4532,  16.1307,  14.0310,  21.7566,  24.5339,  55.9282
1945, 111.1460,  78.1704,  77.7356,  74.7054,  82.1128,  77.4214,  56.1393,  56.2491,  69.1115,  90.0196,  53.0702,  50.1816,  52.4606,  65.3462,  47.5595,  44.8897,  51.5116,  61.0797,  56.3227,  92.3316,  31.0571,  29.5376,  34.8618,  39.5953,  42.5033
1946, -13.7985, -18.5194,  -5.3740, -14.3839, -12.4397, -18.7219,  -6.2951, -10.8724,  -9.3334,  -7.3666, -14.9323,  -3.4324,  -5.1194,  -6.8880, -10.2338,  -3.0650,  -3.4923,  -1.1034,  -7.9226, -12.5853,  -9.7030,  -7.3431,  -1.2715,   2.2526, -10.8243
