YEAR,Mkt_RF,SMB,HML,RF
  1927,   29.47,   -2.04,   -4.54,    3.12
  1928,   35.39,    4.51,   -6.17,    3.56
  1929,  -19.54,  -30.70,   11.67,    4.75
  1930,  -31.23,   -5.17,  -11.54,    2.41
  1931,  -45.11,    3.70,  -13.95,    1.07
  1932,   -9.39,    4.40,   11.11,    0.96
  1933,   57.05,   45.45,   32.39,    0.30
  1934,    3.02,   25.15,  -27.67,    0.16
  1935,   44.96,   10.60,   10.23,    0.17
  1936,   32.07,   17.60,   34.55,    0.18
  1937,  -34.96,  -14.14,   -4.09,    0.31
  1938,   28.48,    9.28,  -12.02,   -0.02
  1939,    2.70,    5.86,  -19.23,    0.02
  1940,   -7.14,    0.76,   -0.85,    0.00
  1941,  -10.53,   -4.04,   11.13,    0.06
  1942,   16.20,    4.96,   19.82,    0.27
  1943,   27.96,   33.18,   38.71,    0.35
  1944,   20.97,   17.90,   15.92,    0.33
  1945,   38.38,   25.38,   10.80,    0.33
  1946,   -6.73,   -3.99,    3.11,    0.35
  1947,    2.95,   -6.99,    9.87,    0.50
  1948,    1.07,   -9.11,    3.74,    0.81
  1949,   19.12,    3.75,   -4.25,    1.10
  1950,   28.82,    1.08,   27.02,    1.20
  1951,   19.22,   -5.22,   -5.67,    1.49
  1952,   11.80,   -6.76,    3.31,    1.66
  1953,   -1.05,   -1.15,   -7.75,    1.82
  1954,   49.35,   -2.14,   26.05,    0.86
  1955,   23.75,   -5.88,    4.82,    1.57
  1956,    5.90,   -0.95,   -1.99,    2.46
  1957,  -13.16,   -2.77,   -6.11,    3.14
  1958,   43.45,   14.50,   13.48,    1.54
  1959,    9.76,    5.44,    1.70,    2.95
  1960,   -1.46,   -2.78,   -4.62,    2.66
  1961,   24.81,    1.28,    5.42,    2.13
  1962,  -12.90,   -8.29,    8.92,    2.73
  1963,   17.84,   -6.18,   15.69,    3.12
  1964,   12.54,   -0.82,    9.72,    3.54
  1965,   10.52,   22.08,    7.11,    3.93
  1966,  -13.51,    2.83,   -0.86,    4.76
  1967,   24.49,   50.49,   -8.14,    4.21
  1968,    8.79,   24.18,   18.56,    5.21
  1969,  -17.54,  -13.99,  -10.05,    6.58
  1970,   -6.49,  -11.87,   21.52,    6.52
  1971,   11.78,    5.98,  -11.30,    4.39
  1972,   13.05,  -12.16,    1.80,    3.84
  1973,  -26.18,  -23.51,   17.47,    6.93
  1974,  -35.75,   -0.81,    9.96,    8.00
  1975,   32.44,   15.41,    9.14,    5.80
  1976,   21.91,   14.67,   24.38,    5.08
  1977,   -8.26,   22.62,    7.46,    5.12
  1978,    1.03,   14.42,    0.67,    7.18
  1979,   13.09,   21.27,   -2.33,   10.38
  1980,   22.13,    5.66,  -24.61,   11.24
  1981,  -18.13,    7.11,   25.04,   14.71
  1982,   10.66,    8.68,   13.29,   10.54
  1983,   13.75,   14.00,   20.52,    8.80
  1984,   -6.05,   -8.22,   19.13,    9.85
  1985,   24.91,    0.55,    1.29,    7.72
  1986,   10.12,   -9.55,    9.34,    6.16
  1987,   -3.87,  -10.95,   -1.70,    5.47
  1988,   11.55,    5.78,   14.99,    6.35
  1989,   20.49,  -12.86,   -4.03,    8.37
  1990,  -13.95,  -13.99,  -10.03,    7.81
  1991,   29.18,   16.08,  -14.72,    5.60
  1992,    6.23,    7.74,   24.49,    3.51
  1993,    8.21,    6.37,   16.96,    2.90
  1994,   -4.10,   -0.46,   -0.89,    3.90
  1995,   31.22,   -9.75,    5.97,    5.60
  1996,   15.96,   -4.45,    8.67,    5.21
  1997,   25.96,   -7.75,   19.01,    5.26
  1998,   19.46,  -25.26,  -10.47,    4.86
  1999,   20.57,   15.34,  -31.65,    4.68
  2000,  -17.60,   -4.60,   44.99,    5.89
  2001,  -15.21,   18.13,   18.54,    3.83
  2002,  -22.76,    4.40,    8.16,    1.65
  2003,   30.75,   26.78,    4.97,    1.02
  2004,   10.72,    4.45,    7.63,    1.20
  2005,    3.09,   -2.36,    9.41,    2.98
  2006,   10.60,    0.09,   11.92,    4.80
  2007,    1.04,   -7.36,  -17.28,    4.66
  2008,  -38.34,    2.44,    1.00,    1.60
  2009,   28.26,    9.18,   -9.65,    0.10
  2010,   17.37,   14.19,   -5.22,    0.12
  2011,    0.44,   -5.71,   -8.42,    0.04
  2012,   16.27,   -1.40,   10.00,    0.06
  2013,   35.20,    7.75,    2.60,    0.02
  2014,   11.71,   -7.86,   -1.45,    0.02
  2015,    0.09,   -3.99,   -9.65,    0.02
  2016,   13.30,    6.66,   22.75,    0.20
  2017,   21.51,   -4.97,  -13.51,    0.80
  2018,   -6.95,   -3.21,   -9.73,    1.83
  2019,   28.28,   -6.11,  -10.34,    2.15
  2020,   23.66,   13.18,  -46.56,    0.45
  2021,   23.56,   -3.89,   25.53,    0.04
  2022,  -21.60,   -6.82,   25.81,    1.43
