YEAR,Mkt_RF
1927,29.47
1928,35.39
1929,-19.54
1930,-31.23
1931,-45.11
1932,-9.39
1933,57.05
1934,3.02
1935,44.96
1936,32.07
1937,-34.96
1938,28.48
1939,2.7
1940,-7.14
1941,-10.53
1942,16.2
1943,27.96
1944,20.97
1945,38.38
1946,-6.73
1947,2.95
1948,1.07
1949,19.12
1950,28.82
1951,19.22
1952,11.8
1953,-1.05
1954,49.35
1955,23.75
1956,5.9
1957,-13.16
1958,43.45
1959,9.76
1960,-1.46
1961,24.81
1962,-12.9
1963,17.84
1964,12.54
1965,10.52
1966,-13.51
1967,24.49
1968,8.79
1969,-17.54
1970,-6.49
1971,11.78
1972,13.05
1973,-26.18
1974,-35.75
1975,32.44
1976,21.91
1977,-8.26
1978,1.03
1979,13.09
1980,22.13
1981,-18.13
1982,10.66
1983,13.75
1984,-6.05
1985,24.91
1986,10.12
1987,-3.87
1988,11.55
1989,20.49
1990,-13.95
1991,29.18
1992,6.23
1993,8.21
1994,-4.1
1995,31.22
1996,15.96
1997,25.96
1998,19.46
1999,20.57
2000,-17.6
2001,-15.21
2002,-22.76
2003,30.75
2004,10.72
2005,3.09
2006,0.6
2007,1.04
2008,-38.34
2009,28.26
2010,17.37
2011,0.44
2012,16.27
2013,35.2
2014,11.71
2015,0.09
2016,13.3
2017,21.51
2018,-6.95
2019,28.28
2020,23.66
2021,23.56
2022,-21.6
