Portfolio,Consumption_Beta
SMALL LoBM,-330.0515882221441
ME1 BM2,-63.670525829145305
ME1 BM3,-137.3805852326531
ME1 BM4,-45.08392196066556
SMALL HiBM,-26.747410134199644
ME2 BM1,388.768520302292
ME2 BM2,-214.5573781655657
ME2 BM3,74.13509465742982
ME2 BM4,-117.9620041561922
ME2 BM5,266.416176732315
ME3 BM1,-408.42149994965797
ME3 BM2,-0.30308732477889416
ME3 BM3,-36.7534845546391
ME3 BM4,-66.25657133214163
ME3 BM5,332.44671998137267
ME4 BM1,-209.6513280050446
ME4 BM2,-48.008214866845655
ME4 BM3,-332.0160725111253
ME4 BM4,402.58366988865635
ME4 BM5,177.34262826756483
BIG LoBM,-144.91105514551165
ME5 BM2,152.43422769928983
ME5 BM3,277.11890772031427
ME5 BM4,183.66042509000195
BIG HiBM,455.9519172468454
